LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
3144                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11905e+06         1.00698e+07         F 
2355                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11917e+06         1.00616e+07         F 
2396                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11917e+06         1.00616e+07         F 
2473                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11917e+06         1.00616e+07         F 
2474                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11917e+06         1.00616e+07         F 
3110                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.12255e+06         1.00686e+07         F 
1668                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12328e+06         1.00676e+07         F 
3114                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12263e+06         1.00686e+07         F 
1664                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12358e+06         1.0067e+07          F 
3149                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.12248e+06         1.00687e+07         F 
1642                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.1237e+06          1.00648e+07         F 
3109                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11837e+06         1.00697e+07         F 
1823                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11767e+06         1.00695e+07         F 
3158                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12225e+06         1.0069e+07          F 
1645                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.1229e+06          1.00683e+07         F 
3129                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.1211e+06          1.00697e+07         F 
1813                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11675e+06         1.00689e+07         F 
