LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
1844                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.1171e+06          1.007e+07           F 
1872                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.1171e+06          1.007e+07           F 
1874                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11704e+06         1.00699e+07         F 
3110                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12255e+06         1.00686e+07         F 
3156                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11726e+06         1.00703e+07         F 
1652                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12189e+06         1.00663e+07         F 
3126                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11995e+06         1.00713e+07         F 
1840                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11707e+06         1.00701e+07         F 
1869                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11707e+06         1.00701e+07         F 
3162                            1                   0.0250              0.024               18                  5.12                3.52                1                   0.10                9.57                3.12111e+06         1.00709e+07         F 
3114                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12263e+06         1.00686e+07         F 
3118                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11722e+06         1.00703e+07         F 
3124                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11722e+06         1.00703e+07         F 
3145                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11722e+06         1.00703e+07         F 
3151                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11722e+06         1.00703e+07         F 
3143                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12199e+06         1.00702e+07         F 
3108                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11715e+06         1.00703e+07         F 
3113                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11715e+06         1.00703e+07         F 
3133                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.118e+06           1.00711e+07         F 
3136                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11725e+06         1.00705e+07         F 
3164                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11717e+06         1.00705e+07         F 
3104                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12282e+06         1.00685e+07         F 
1131                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11678e+06         1.00701e+07         F 
1648                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12165e+06         1.00657e+07         F 
1669                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12165e+06         1.00657e+07         F 
3128                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11925e+06         1.00716e+07         F 
1645                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.1229e+06          1.00683e+07         F 
1860                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11648e+06         1.00668e+07         F 
1141                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11688e+06         1.00704e+07         F 
1155                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11634e+06         1.00695e+07         F 
1058                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11676e+06         1.00703e+07         F 
1127                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11676e+06         1.00703e+07         F 
